IND,YEAR,EMP,WAGE,CAP,INDOUTPT,N,W,K,YS,REC,YEARM1,ID,NL1,NL2,WL1,KL1,KL2,YSL1,YSL2
7,1980,72.0309982,15.4910002,17.6574001,100.5501022,4.2770967,2.7402592,2.871155,4.6106563,11,1979,2,4.2615242,4.2576389,2.7049387,2.864558,2.8473599,4.6012454,4.5783834
7,1981,73.689003,16.1968994,16.7133007,99.5580978,4.2998538,2.7848198,2.8162048,4.6007414,12,1980,2,4.2770967,4.2615242,2.7402592,2.871155,2.864558,4.6106563,4.6012454
7,1982,72.4189987,16.1313992,16.2469006,98.615097,4.2824688,2.7807677,2.7879021,4.5912242,13,1981,2,4.2998538,4.2770967,2.7848198,2.8162048,2.871155,4.6007414,4.6106563
7,1983,68.5179977,16.3050995,17.3696003,100.030098,4.2270966,2.7914779,2.8547215,4.6054711,14,1982,2,4.2824688,4.2998538,2.7807677,2.7879021,2.8162048,4.5912242,4.6007414
7,1977,19.1560001,22.6919994,7.0974998,95.7071991,2.952616,3.1220124,1.9597425,4.5612936,15,1983,3, , , , , , , 
7,1978,19.4400005,20.6938,6.9468999,97.3569031,2.9673328,3.029834,1.9382955,4.5783834,16,1977,3,2.952616, ,3.1220124,1.9597425, ,4.5612936, 
7,1979,19.8999996,21.2047997,6.8565001,99.6082993,2.9907198,3.0542276,1.9251971,4.6012454,17,1978,3,2.9673328,2.952616,3.029834,1.9382955,1.9597425,4.5783834,4.5612936
7,1980,20.2399998,22.1970005,6.6546998,100.5501022,3.0076609,3.0999572,1.8953234,4.6106563,18,1979,3,2.9907198,2.9673328,3.0542276,1.9251971,1.9382955,4.6012454,4.5783834
7,1981,19.5699997,24.8714008,6.2136002,99.5580978,2.9739978,3.2137187,1.8267405,4.6007414,19,1980,3,3.0076609,2.9907198,3.0999572,1.8953234,1.9251971,4.6106563,4.6012454
7,1982,18.125,24.8446999,5.7146001,98.615097,2.8972921,3.2126443,1.7430243,4.5912242,20,1981,3,2.9739978,3.0076609,3.2137187,1.8267405,1.8953234,4.6007414,4.6106563
7,1983,16.8500004,28.9076996,7.3431001,100.030098,2.8243506,3.3641081,1.9937611,4.6054711,21,1982,3,2.8972921,2.9739978,3.2126443,1.7430243,1.8267405,4.5912242,4.6007414
8,1977,26.1599998,14.8283005,8.4902,118.2222977,3.2642314,2.6965375,2.1389127,4.7725668,22,1983,4, , , , , , , 
8,1978,26.7399998,14.8379002,8.7419996,120.155098,3.2861605,2.6971848,2.168139,4.7887836,23,1977,4,3.2642314, ,2.6965375,2.1389127, ,4.7725668, 
8,1979,27.2800007,14.8755999,9.1869001,118.8319016,3.3061538,2.6997223,2.2177787,4.77771,24,1978,4,3.2861605,3.2642314,2.6971848,2.168139,2.1389127,4.7887836,4.7725668
8,1980,27.8299999,15.2332001,9.4035997,111.9163971,3.3261147,2.7234774,2.2410927,4.717752,25,1979,4,3.3061538,3.2861605,2.6997223,2.2177787,2.168139,4.77771,4.7887836
8,1981,27.1690006,17.2528992,8.8938999,97.5540009,3.3020766,2.8479803,2.1853657,4.5804062,26,1980,4,3.3261147,3.3061538,2.7234774,2.2410927,2.2177787,4.717752,4.77771
8,1982,24.5039997,19.3141994,8.3905001,92.1981964,3.1988363,2.9608405,2.1271002,4.5239406,27,1981,4,3.3020766,3.3261147,2.8479803,2.1853657,2.2410927,4.5804062,4.717752
8,1983,22.5620003,20.0055008,7.4351001,92.4040985,3.1162672,2.9960072,2.006212,4.5261712,28,1982,4,3.1988363,3.3020766,2.9608405,2.1271002,2.1853657,4.5239406,4.5804062
7,1976,86.677002,20.6322994,22.3803997,94.8991013,4.4621887,3.0268579,3.1081855,4.552814,29,1983,5, , , , , , , 
7,1977,87.0999985,18.2782001,22.2702999,96.5037994,4.4670568,2.905709,3.1032538,4.5695825,30,1976,5,4.4621887, ,3.0268579,3.1081855, ,4.552814, 
7,1978,87,18.1368999,25.1669998,98.8162994,4.4659081,2.8979485,3.2255337,4.5932627,31,1977,5,4.4670568,4.4621887,2.905709,3.1032538,3.1081855,4.5695825,4.552814
7,1979,90.4000015,18.1896,25.3514996,100.4834976,4.5042443,2.9008501,3.2328379,4.6099935,32,1978,5,4.4659081,4.4670568,2.8979485,3.2255337,3.1032538,4.5932627,4.5695825
7,1980,89.1999969,19.2893009,28.2394009,100.1222992,4.490881,2.9595506,3.3407183,4.6063924,33,1979,5,4.5042443,4.4659081,2.9008501,3.2328379,3.2255337,4.6099935,4.5932627
7,1981,82.6999969,19.8241997,25.7959003,98.5270004,4.4152198,2.9869034,3.2502155,4.5903306,34,1980,5,4.490881,4.5042443,2.9595506,3.3407183,3.2328379,4.6063924,4.6099935
7,1982,73.6999969,19.3873005,20.3680992,99.5083008,4.3000026,2.9646182,3.0139699,4.6002412,35,1981,5,4.4152198,4.490881,2.9869034,3.2502155,3.3407183,4.5903306,4.6063924
3,1976,0.748,23.1889,0.1694,102.7723999,-0.2903523,3.1436737,-1.7754924,4.6325169,36,1982,6, , , , , , , 
3,1977,0.766,20.5393009,0.1618,107.0270004,-0.2665731,3.0223401,-1.8213943,4.6730809,37,1976,6,-0.2903523, ,3.1436737,-1.7754924, ,4.6325169, 
3,1978,0.762,20.9386997,0.1499,108.6788025,-0.2718087,3.041599,-1.8977869,4.6883969,38,1977,6,-0.2665731,-0.2903523,3.0223401,-1.8213943,-1.7754924,4.6730809,4.6325169
3,1979,0.729,21.7625999,0.1458,111.1190033,-0.3160816,3.0801928,-1.9255195,4.7106018,39,1978,6,-0.2718087,-0.2665731,3.041599,-1.8977869,-1.8213943,4.6883969,4.6730809
3,1980,0.731,23.4706993,0.1468,101.9264984,-0.3133418,3.1557529,-1.9186842,4.6242518,40,1979,6,-0.3160816,-0.2718087,3.0801928,-1.9255195,-1.8977869,4.7106018,4.6883969
3,1981,0.779,24.1252003,0.1412,99.4971008,-0.2497443,3.1832569,-1.9575779,4.6001287,41,1980,6,-0.3133418,-0.3160816,3.1557529,-1.9186842,-1.9255195,4.6242518,4.7106018
3,1982,0.782,25.2064991,0.1261,99.3103027,-0.2459005,3.2271018,-2.0706799,4.5982494,42,1981,6,-0.2497443,-0.3133418,3.1832569,-1.9575779,-1.9186842,4.6001287,4.6242518
3,1976,1.6,30.8512993,0.9934,104.7664032,0.4700036,3.429179,-0.0066219,4.6517329,43,1982,7, , , , , , , 
3,1977,1.65,28.5550003,0.933,107.4791031,0.5007753,3.3518322,-0.06935,4.6772966,44,1976,7,0.4700036, ,3.429179,-0.0066219, ,4.6517329, 
3,1978,1.6799999,29.8602009,0.965,108.9188004,0.5187938,3.3965266,-0.0356272,4.6906028,45,1977,7,0.5007753,0.4700036,3.3518322,-0.06935,-0.0066219,4.6772966,4.6517329
3,1979,1.6799999,30.5893993,0.9629,111.5590973,0.5187938,3.4206536,-0.0378057,4.7145543,46,1978,7,0.5187938,0.5007753,3.3965266,-0.0356272,-0.06935,4.6906028,4.6772966
3,1980,1.66,27.4885998,0.9224,100,0.5068176,3.3137712,-0.0807763,4.6051702,47,1979,7,0.5187938,0.5187938,3.4206536,-0.0378057,-0.0356272,4.7145543,4.6906028
3,1981,1.5599999,31.4867992,0.9992,99.3964996,0.4446858,3.4495683,-0.0008003,4.5991168,48,1980,7,0.5068176,0.5187938,3.3137712,-0.0807763,-0.0378057,4.6051702,4.7145543
3,1982,1.54,32.0727997,0.8802,99.2930984,0.4317824,3.4680083,-0.1276061,4.5980759,49,1981,7,0.4446858,0.5068176,3.4495683,-0.0008003,-0.0807763,4.5991168,4.6051702
3,1976,9.1450005,30.9088993,4.5486002,104.7664032,2.2132072,3.4310441,1.5148195,4.6517329,50,1982,8, , , , , , , 
3,1977,10.8549995,24.4678993,4.6194,107.4791031,2.3846257,3.1973619,1.5302649,4.6772966,51,1976,8,2.2132072, ,3.4310441,1.5148195, ,4.6517329, 
3,1978,10.7489996,28.0557995,5.0373001,108.9188004,2.3748126,3.3341954,1.6168703,4.6906028,52,1977,8,2.3846257,2.2132072,3.1973619,1.5302649,1.5148195,4.6772966,4.6517329
3,1979,10.9589996,28.7444992,4.8748002,111.5590973,2.394161,3.3584464,1.5840791,4.7145543,53,1978,8,2.3748126,2.3846257,3.3341954,1.6168703,1.5302649,4.6906028,4.6772966
3,1980,10.698,28.4853992,3.2221,100,2.3700569,3.3493917,1.1700333,4.6051702,54,1979,8,2.394161,2.3748126,3.3584464,1.5840791,1.6168703,4.7145543,4.6906028
3,1981,8.1739998,31.7355995,2.8343,99.3964996,2.1009583,3.4574389,1.041795,4.5991168,55,1980,8,2.3700569,2.394161,3.3493917,1.1700333,1.5840791,4.6051702,4.7145543
3,1982,4.7010002,29.8962994,1.7506,99.2930984,1.5477753,3.3977346,0.5599586,4.5980759,56,1981,8,2.1009583,2.3700569,3.4574389,1.041795,1.1700333,4.5991168,4.6051702
3,1976,2.006,26.0825005,0.3824,102.7723999,0.6961427,3.2612646,-0.9612881,4.6325169,57,1982,9, , , , , , , 
3,1977,2.6559999,21.9545002,0.4551,107.0270004,0.9768212,3.0889721,-0.7872381,4.6730809,58,1976,9,0.6961427, ,3.2612646,-0.9612881, ,4.6325169, 
3,1978,2.7119999,22.8099995,0.4529,108.6788025,0.9976863,3.1271989,-0.7920839,4.6883969,59,1977,9,0.9768212,0.6961427,3.0889721,-0.7872381,-0.9612881,4.6730809,4.6325169
3,1979,2.744,23.3719997,0.4524,111.1190033,1.0094167,3.1515386,-0.7931885,4.7106018,60,1978,9,0.9976863,0.9768212,3.1271989,-0.7920839,-0.7872381,4.6883969,4.6730809
3,1980,2.757,23.0737,0.4676,101.9264984,1.0141431,3.1386933,-0.7601421,4.6242518,61,1979,9,1.0094167,0.9976863,3.1515386,-0.7931885,-0.7920839,4.7106018,4.6883969
3,1981,2.849,24.3043995,0.481,99.4971008,1.0469681,3.1906574,-0.731888,4.6001287,62,1980,9,1.0141431,1.0094167,3.1386933,-0.7601421,-0.7931885,4.6242518,4.7106018
3,1982,2.7520001,26.8983994,0.4753,99.3103027,1.0123279,3.2920668,-0.743809,4.5982494,63,1981,9,1.0469681,1.0141431,3.1906574,-0.731888,-0.7601421,4.6001287,4.6242518
7,1976,3.823,23.3533001,1.1293,95.3656998,1.3410355,3.1507382,0.121598,4.5577188,64,1982,10, , , , , , , 
7,1977,3.9349999,21.3250999,1.0143,96.7314987,1.3699108,3.0598848,0.0141987,4.571939,65,1976,10,1.3410355, ,3.1507382,0.121598, ,4.5577188, 
7,1978,3.5280001,20.9319,1.1169,99.2332993,1.2607312,3.0412743,0.110557,4.5974736,66,1977,10,1.3699108,1.3410355,3.0598848,0.0141987,0.121598,4.571939,4.5577188
7,1979,3.52,20.4535999,1.1626,100.7334976,1.258461,3.0181589,0.1506589,4.6124783,67,1978,10,1.2607312,1.3699108,3.0412743,0.110557,0.0141987,4.5974736,4.571939
7,1980,3.467,23.4946003,1.0827,100,1.2432897,3.1567707,0.0794579,4.6051702,68,1979,10,1.258461,1.2607312,3.0181589,0.1506589,0.110557,4.6124783,4.5974736
7,1981,3.0899999,25.9552994,1.0635999,98.232399,1.1281711,3.2563758,0.0616593,4.5873361,69,1980,10,1.2432897,1.258461,3.1567707,0.0794579,0.1506589,4.6051702,4.6124783
7,1982,3.2620001,26.0361004,1.0958,99.7634964,1.1823405,3.2594841,0.0914847,4.6028023,70,1981,10,1.1281711,1.2432897,3.2563758,0.0616593,0.0794579,4.5873361,4.6051702
3,1976,1.359,23.0613995,0.4099,104.7664032,0.3067491,3.1381602,-0.891842,4.6517329,71,1982,11, , , , , , , 
3,1977,1.346,20.2275009,0.5741,107.4791031,0.2971372,3.0070431,-0.5549517,4.6772966,72,1976,11,0.3067491, ,3.1381602,-0.891842, ,4.6517329, 
3,1978,1.3380001,22.1434994,0.5563,108.9188004,0.291176,3.097544,-0.5864476,4.6906028,73,1977,11,0.2971372,0.3067491,3.0070431,-0.5549517,-0.891842,4.6772966,4.6517329
3,1979,1.353,22.5496006,0.5145,111.5590973,0.3023244,3.1157174,-0.6645597,4.7145543,74,1978,11,0.291176,0.2971372,3.097544,-0.5864476,-0.5549517,4.6906028,4.6772966
3,1980,1.2640001,22.5874996,0.5895,100,0.2342813,3.1173966,-0.5284805,4.6051702,75,1979,11,0.3023244,0.291176,3.1157174,-0.6645597,-0.5864476,4.7145543,4.6906028
3,1981,1.158,25.9584999,0.4847,99.3964996,0.1466944,3.2564991,-0.7242252,4.5991168,76,1980,11,0.2342813,0.3023244,3.1173966,-0.5284805,-0.6645597,4.6051702,4.7145543
3,1982,1.175,24.0345001,0.4359,99.2930984,0.1612681,3.1794903,-0.8303424,4.5980759,77,1981,11,0.1466944,0.2342813,3.2564991,-0.7242252,-0.5284805,4.5991168,4.6051702
3,1976,1.78,34.299099,0.2569,104.7664032,0.5766134,3.5351191,-1.3590683,4.6517329,78,1982,12, , , , , , , 
3,1977,1.643,30.3978996,0.2072,107.4791031,0.4965239,3.4143734,-1.5740707,4.6772966,79,1976,12,0.5766134, ,3.5351191,-1.3590683, ,4.6517329, 
3,1978,1.39,31.1431007,0.1999,108.9188004,0.3293037,3.4385927,-1.609938,4.6906028,80,1977,12,0.4965239,0.5766134,3.4143734,-1.5740707,-1.3590683,4.6772966,4.6517329
3,1979,1.35,33.3105011,0.2007,111.5590973,0.3001046,3.5058727,-1.605944,4.7145543,81,1978,12,0.3293037,0.4965239,3.4385927,-1.609938,-1.5740707,4.6906028,4.6772966
3,1980,1.082,30.2147007,0.1473,100,0.0788112,3.4083285,-1.9152839,4.6051702,82,1979,12,0.3001046,0.3293037,3.5058727,-1.605944,-1.609938,4.7145543,4.6906028
3,1981,0.78,29.7413998,0.1158,99.3964996,-0.2484614,3.39254,-2.1558907,4.5991168,83,1980,12,0.0788112,0.3001046,3.4083285,-1.9152839,-1.605944,4.6051702,4.7145543
3,1982,0.68,31.1235008,0.1036,99.2930984,-0.3856625,3.4379632,-2.2672179,4.5980759,84,1981,12,-0.2484614,0.0788112,3.39254,-2.1558907,-1.9152839,4.5991168,4.6051702
1,1976,2.3529999,22.3833008,0.5785,125.8063965,0.8556911,3.1083152,-0.5473168,4.834744,85,1982,13, , , , , , , 
1,1977,2.3859999,23.0606995,0.5613,127.9648972,0.8696183,3.1381299,-0.5774998,4.8517561,86,1976,13,0.8556911, ,3.1083152,-0.5473168, ,4.834744, 
1,1978,2.375,23.4930992,0.5273,125.4293976,0.8649974,3.1567068,-0.6399856,4.8317432,87,1977,13,0.8696183,0.8556911,3.1381299,-0.5774998,-0.5473168,4.8517561,4.834744
1,1979,2.415,26.0042,0.518,125.0259018,0.8816993,3.2582581,-0.6577801,4.8285208,88,1978,13,0.8649974,0.8696183,3.1567068,-0.6399856,-0.5774998,4.8317432,4.8517561
1,1980,2.266,24.1671009,0.4608,106.3043976,0.8180162,3.1849923,-0.7747912,4.6663065,89,1979,13,0.8816993,0.8649974,3.2582581,-0.6577801,-0.6399856,4.8285208,4.8317432
1,1981,1.777,26.0573006,0.375,98.0728989,0.5749265,3.260298,-0.9808292,4.585711,90,1980,13,0.8180162,0.8816993,3.1849923,-0.7747912,-0.6577801,4.6663065,4.8285208
1,1982,1.5369999,28.7063999,0.3147,96.8674011,0.4298324,3.35712,-1.1561354,4.5733433,91,1981,13,0.5749265,0.8180162,3.260298,-0.9808292,-0.7747912,4.585711,4.6663065
1,1978,3.165,20.9113007,0.3902,127.3865967,1.152153,3.0402896,-0.9410959,4.8472266,92,1982,14, , , , , , , 
1,1979,3.096,21.8887005,0.4311,124.6424026,1.130111,3.0859706,-0.8414152,4.825449,93,1978,14,1.152153, ,3.0402896,-0.9410959, ,4.8472266, 
1,1980,2.9909999,23.7010002,0.4228,118.9132004,1.0956078,3.1655173,-0.860856,4.7783937,94,1979,14,1.130111,1.152153,3.0859706,-0.8414152,-0.9410959,4.825449,4.8472266
1,1981,2.6919999,21.3924999,0.381,99.3575974,0.9902844,3.0630405,-0.9649559,4.5987253,95,1980,14,1.0956078,1.130111,3.1655173,-0.860856,-0.8414152,4.7783937,4.825449
1,1982,2.175,25.5237007,0.3051,97.2427979,0.7770286,3.2396076,-1.1871157,4.5772109,96,1981,14,0.9902844,1.0956078,3.0630405,-0.9649559,-0.860856,4.5987253,4.7783937
1,1983,1.801,25.7210999,0.2041,97.194397,0.5883421,3.2473116,-1.5891452,4.5767131,97,1982,14,0.7770286,0.9902844,3.2396076,-1.1871157,-0.9649559,4.5772109,4.5987253
1,1984,1.428,25.6452007,0.1685,99.9861984,0.3562748,3.2443564,-1.7808195,4.605032,98,1983,14,0.5883421,0.7770286,3.2473116,-1.5891452,-1.1871157,4.5767131,4.5772109
9,1977,7.2199998,22.5897999,1.8498,105.3355026,1.9768549,3.1174984,0.6150775,4.6571507,99,1984,15, , , , , , , 
9,1978,7.3210001,22.0548992,1.9215,108.1832962,1.990747,3.0935347,0.6531061,4.6838269,100,1977,15,1.9768549, ,3.1174984,0.6150775, ,4.6571507, 
9,1979,7.0970001,22.2901993,2.1854999,110.6984024,1.9596722,3.1041472,0.7818446,4.7068095,101,1978,15,1.990747,1.9768549,3.0935347,0.6531061,0.6150775,4.6838269,4.6571507
9,1980,7.2010002,20.6807995,2.4345,105.9673004,1.9742199,3.0292058,0.8897414,4.6631308,102,1979,15,1.9596722,1.990747,3.1041472,0.7818446,0.6531061,4.7068095,4.6838269
9,1981,6.6020002,21.6151009,2.1255,96.5931015,1.8873726,3.0733922,0.754007,4.5705075,103,1980,15,1.9742199,1.9596722,3.0292058,0.8897414,0.7818446,4.6631308,4.7068095
9,1982,5.3109999,23.1550999,1.5594,92.001297,1.6697801,3.142215,0.4443011,4.5218029,104,1981,15,1.8873726,1.9742199,3.0733922,0.754007,0.8897414,4.5705075,4.6631308
9,1983,5.3940001,25.0998993,1.3576,92.2488022,1.6852872,3.2228639,0.3057184,4.5244894,105,1982,15,1.6697801,1.8873726,3.142215,0.4443011,0.754007,4.5218029,4.5705075
4,1976,2.757,29.3516998,0.9175,116.4000015,1.0141431,3.3793504,-0.0861027,4.7570324,106,1983,16, , , , , , , 
4,1977,2.632,27.0685997,0.8613,115.6999969,0.967744,3.2983744,-0.1493124,4.7510004,107,1976,16,1.0141431, ,3.3793504,-0.0861027, ,4.7570324, 
4,1978,2.6470001,27.2751999,0.8519,112.8000031,0.9734269,3.3059778,-0.1602862,4.7256165,108,1977,16,0.967744,1.0141431,3.2983744,-0.1493124,-0.0861027,4.7510004,4.7570324
4,1979,2.687,26.6443996,0.5277,108.9000015,0.9884253,3.2825789,-0.6392273,4.6904302,109,1978,16,0.9734269,0.967744,3.3059778,-0.1602862,-0.1493124,4.7256165,4.7510004
4,1980,2.4170001,25.3591003,0.5262,100,0.8825271,3.2331376,-0.6420739,4.6051702,110,1979,16,0.9884253,0.9734269,3.2825789,-0.6392273,-0.1602862,4.6904302,4.7256165
4,1981,2.2179999,25.2730999,0.566,89.1999969,0.7966059,3.2297406,-0.5691612,4.490881,111,1980,16,0.8825271,0.9884253,3.2331376,-0.6420739,-0.6392273,4.6051702,4.6904302
4,1982,2.1059999,27.4445992,0.5112,90.5,0.7447904,3.3121693,-0.6709943,4.5053496,112,1981,16,0.7966059,0.8825271,3.2297406,-0.5691612,-0.6420739,4.490881,4.6051702
1,1977,1.09,23.9351997,0.1282,127.1640015,0.0861777,3.1753502,-2.0541637,4.8454776,113,1982,17, , , , , , , 
1,1978,1.1440001,22.6138992,0.1393,127.3865967,0.1345309,3.1185648,-1.9711254,4.8472266,114,1977,17,0.0861777, ,3.1753502,-2.0541637, ,4.8454776, 
1,1979,1.1950001,23.0800991,0.1795,124.6424026,0.1781462,3.1389709,-1.7175801,4.825449,115,1978,17,0.1345309,0.0861777,3.1185648,-1.9711254,-2.0541637,4.8472266,4.8454776
1,1980,1.2589999,25.0345993,0.1835,118.9132004,0.2303177,3.220259,-1.6955405,4.7783937,116,1979,17,0.1781462,0.1345309,3.1389709,-1.7175801,-1.9711254,4.825449,4.8472266
1,1981,1.319,24.2586994,0.1731,99.3575974,0.2768739,3.1887753,-1.7538859,4.5987253,117,1980,17,0.2303177,0.1781462,3.220259,-1.6955405,-1.7175801,4.7783937,4.825449
1,1982,1.188,28.4659004,0.1471,97.2427979,0.1722712,3.348707,-1.9166427,4.5772109,118,1981,17,0.2768739,0.2303177,3.1887753,-1.7538859,-1.6955405,4.5987253,4.7783937
1,1983,1.163,29.4594002,0.1246,97.194397,0.1510029,3.383013,-2.0826466,4.5767131,119,1982,17,0.1722712,0.2768739,3.348707,-1.9166427,-1.7538859,4.5772109,4.5987253
4,1977,7.4070001,29.9689007,1.1694,116.2249985,2.0024254,3.4001603,0.1564908,4.755528,120,1983,18, , , , , , , 
4,1978,7.3920002,26.2611008,1.2643,114.9749985,2.0003984,3.2680888,0.2345186,4.7447147,121,1977,18,2.0024254, ,3.4001603,0.1564908, ,4.755528, 
4,1979,7.198,25.7528,1.3536,111.8249969,1.9738032,3.2485433,0.3027677,4.7169352,122,1978,18,2.0003984,2.0024254,3.2680888,0.2345186,0.1564908,4.7447147,4.755528
4,1980,6.8720002,24.3197994,1.5671999,106.6750031,1.9274552,3.1912909,0.4492905,4.6697869,123,1979,18,1.9738032,2.0003984,3.2485433,0.3027677,0.2345186,4.7169352,4.7447147
4,1981,6.131,24.3181,1.3429,97.3000031,1.8133578,3.191221,0.2948315,4.5777988,124,1980,18,1.9274552,1.9738032,3.1912909,0.4492905,0.3027677,4.6697869,4.7169352
4,1982,5.7849998,26.5473003,1.1385,89.5250015,1.7552683,3.278928,0.1297116,4.4945178,125,1981,18,1.8133578,1.9274552,3.191221,0.2948315,0.4492905,4.5777988,4.6697869
4,1983,5.487,26.5930004,0.9603,89.5999985,1.7023816,3.280648,-0.0405095,4.4953551,126,1982,18,1.7552683,1.8133578,3.278928,0.1297116,0.2948315,4.4945178,4.5777988
4,1976,23.5310001,34.020401,5.4762001,116.4000015,3.1583188,3.5269604,1.7004114,4.7570324,127,1983,19, , , , , , , 
4,1977,22.5209999,30.3190994,5.0655999,115.6999969,3.1144483,3.411778,1.6224725,4.7510004,128,1976,19,3.1583188, ,3.5269604,1.7004114, ,4.7570324, 
4,1978,21.8659992,29.1919994,5.0976,112.8000031,3.0849328,3.3738947,1.6287699,4.7256165,129,1977,19,3.1144483,3.1583188,3.411778,1.6224725,1.7004114,4.7510004,4.7570324
4,1979,21.0669994,28.6364994,5.7196002,108.9000015,3.0477078,3.3546822,1.7438989,4.6904302,130,1978,19,3.0849328,3.1144483,3.3738947,1.6287699,1.6224725,4.7256165,4.7510004
4,1980,19.2380009,29.7143993,4.9972,100,2.9568875,3.3916318,1.6088778,4.6051702,131,1979,19,3.0477078,3.0849328,3.3546822,1.7438989,1.6287699,4.6904302,4.7256165
4,1981,16.2479992,31.3374996,4.6638999,89.1999969,2.7879698,3.4448154,1.539852,4.490881,132,1980,19,2.9568875,3.0477078,3.3916318,1.6088778,1.7438989,4.6051702,4.6904302
4,1982,14.9280005,33.8527985,4.1429,90.5,2.7032387,3.5220218,1.421396,4.5053496,133,1981,19,2.7879698,2.9568875,3.4448154,1.539852,1.6088778,4.490881,4.6051702
4,1977,1.053,28.0450001,0.1386,116.2249985,0.0516432,3.3338103,-1.9761631,4.755528,134,1982,20, , , , , , , 
4,1978,1.117,26.5632,0.1606,114.9749985,0.1106465,3.2795267,-1.8288385,4.7447147,135,1977,20,0.0516432, ,3.3338103,-1.9761631, ,4.755528, 
4,1979,1.125,25.6042004,0.1695,111.8249969,0.117783,3.2427564,-1.7749023,4.7169352,136,1978,20,0.1106465,0.0516432,3.2795267,-1.8288385,-1.9761631,4.7447147,4.755528
4,1980,1.04,25.6604004,0.2401,106.6750031,0.0392207,3.2449489,-1.4266998,4.6697869,137,1979,20,0.117783,0.1106465,3.2427564,-1.7749023,-1.8288385,4.7169352,4.7447147
4,1981,0.995,25.4899998,0.2132,97.3000031,-0.0050125,3.2382863,-1.5455246,4.5777988,138,1980,20,0.0392207,0.117783,3.2449489,-1.4266998,-1.7749023,4.6697869,4.7169352
4,1982,0.923,25.5370007,0.2017,89.5250015,-0.0801261,3.2401285,-1.6009738,4.4945178,139,1981,20,-0.0050125,0.0392207,3.2382863,-1.5455246,-1.4266998,4.5777988,4.6697869
4,1983,0.908,26.4244003,0.1876,89.5999985,-0.0965109,3.2742879,-1.6734432,4.4953551,140,1982,20,-0.0801261,-0.0050125,3.2401285,-1.6009738,-1.5455246,4.4945178,4.5777988
4,1977,1.9910001,29.6870003,0.4291,116.2249985,0.6886371,3.3907092,-0.8460653,4.755528,141,1983,21, , , , , , , 
4,1978,2.671,28.1284008,0.5378,114.9749985,0.9824529,3.3367798,-0.6202685,4.7447147,142,1977,21,0.6886371, ,3.3907092,-0.8460653, ,4.755528, 
4,1979,2.937,26.5734005,0.5692,111.8249969,1.0773886,3.2799108,-0.5635235,4.7169352,143,1978,21,0.9824529,0.6886371,3.3367798,-0.6202685,-0.8460653,4.7447147,4.755528
4,1980,3.0150001,25.5461006,0.6575,106.6750031,1.1035999,3.2404847,-0.4193105,4.6697869,144,1979,21,1.0773886,0.9824529,3.2799108,-0.5635235,-0.6202685,4.7169352,4.7447147
4,1981,2.701,25.4197998,0.5972,97.3000031,0.9936221,3.2355285,-0.5155032,4.5777988,145,1980,21,1.1035999,1.0773886,3.2404847,-0.4193105,-0.5635235,4.6697869,4.7169352
4,1982,1.817,27.2402,0.4934,89.5250015,0.5971868,3.3046939,-0.7064351,4.4945178,146,1981,21,0.9936221,1.1035999,3.2355285,-0.5155032,-0.4193105,4.5777988,4.6697869
4,1983,1.631,28.7047005,0.4042,89.5999985,0.4891934,3.3570609,-0.9058455,4.4953551,147,1982,21,0.5971868,0.9936221,3.3046939,-0.7064351,-0.5155032,4.4945178,4.5777988
