Obs,TV,radio,newspaper,sales,orsan,radioH
77,27.5,1.6,20.7,6.9,70,0
78,120.5,28.5,14.2,14.2,8,1
79,5.4,29.9,9.4,5.3,56,1
80,116,7.7,23.1,11,26,0
81,76.4,26.7,22.3,11.8,83,1
82,239.8,4.1,36.9,12.3,69,0
83,75.3,20.3,32.5,11.3,45,0
84,68.4,44.5,35.6,13.6,27,1
85,213.5,43,33.8,21.7,35,1
86,193.2,18.4,65.7,15.2,12,0
87,76.3,27.5,16,12,0,1
88,110.7,40.6,63.2,16,41,1
89,88.3,25.5,73.4,12.9,80,1
90,109.8,47.8,51.4,16.7,21,1
91,134.3,4.9,9.3,11.2,75,0
92,28.6,1.5,33,7.3,44,0
93,217.7,33.5,59,19.4,90,1
94,250.9,36.5,72.3,22.2,76,1
95,107.4,14,10.9,11.5,49,0
96,163.3,31.6,52.9,16.9,50,1
97,197.6,3.5,5.9,11.7,1,0
98,184.9,21,22,15.5,4,0
99,289.7,42.3,51.2,25.4,32,1
100,135.2,41.7,45.9,17.2,64,1
101,222.4,4.3,49.8,11.7,51,0
102,296.4,36.3,100.9,23.8,20,1
103,280.2,10.1,21.4,14.8,83,0
104,187.9,17.2,17.9,14.7,52,0
105,238.2,34.3,5.3,20.7,22,1
106,137.9,46.4,59,19.2,13,1
107,25,11,29.7,7.2,71,0
108,90.4,0.3,23.2,8.7,60,0
109,13.1,0.4,25.6,5.3,18,0
110,255.4,26.9,5.5,19.8,68,1
111,225.8,8.2,56.5,13.4,78,0
112,241.7,38,23.2,21.8,96,1
113,175.7,15.4,2.4,14.1,49,0
114,209.6,20.6,10.7,15.9,70,0
115,78.2,46.8,34.5,14.6,95,1
116,75.1,35,52.7,12.6,67,1
117,139.2,14.3,25.6,12.2,81,0
118,76.4,0.8,14.8,9.4,98,0
119,125.7,36.9,79.2,15.9,78,1
120,19.4,16,22.3,6.6,82,0
121,141.3,26.8,46.2,15.5,66,1
122,18.8,21.7,50.4,7,41,0
123,224,2.4,15.6,11.6,81,0
124,123.1,34.6,12.4,15.2,54,1
125,229.5,32.3,74.2,19.7,22,1
126,87.2,11.8,25.9,10.6,74,0
127,7.8,38.9,50.6,6.6,11,1
128,80.2,0,9.2,8.8,27,0
129,220.3,49,3.2,24.7,0,1
130,59.6,12,43.1,9.7,50,0
131,0.7,39.6,8.7,1.6,0,1
132,265.2,2.9,43,12.7,16,0
133,8.4,27.2,2.1,5.7,80,1
134,219.8,33.5,45.1,19.6,49,1
135,36.9,38.6,65.6,10.8,24,1
136,48.3,47,8.5,11.6,33,1
137,25.6,39,9.3,9.5,21,1
138,273.7,28.9,59.7,20.8,77,1
139,43,25.9,20.5,9.6,83,1
140,184.9,43.9,1.7,20.7,59,1
141,73.4,17,12.9,10.9,46,0
142,193.7,35.4,75.6,19.2,60,1
143,220.5,33.2,37.9,20.1,48,1
144,104.6,5.7,34.4,10.4,58,0
145,96.2,14.8,38.9,11.4,24,0
146,140.3,1.9,9,10.3,99,0
147,240.1,7.3,8.7,13.2,43,0
148,243.2,49,44.3,25.4,64,1
149,38,40.3,11.9,10.9,55,1
150,44.7,25.8,20.6,10.1,28,1
151,280.7,13.9,37,16.1,89,0
152,121,8.4,48.7,11.6,70,0
153,197.6,23.3,14.2,16.6,30,1
154,171.3,39.7,37.7,19,90,1
155,187.8,21.1,9.5,15.6,75,0
156,4.1,11.6,5.7,3.2,11,0
157,93.9,43.5,50.5,15.3,92,1
158,149.8,1.3,24.3,10.1,92,0
159,11.7,36.9,45.2,7.3,36,1
160,131.7,18.4,34.6,12.9,86,0
161,172.5,18.1,30.7,14.4,35,0
162,85.7,35.8,49.3,13.3,95,1
163,188.4,18.1,25.6,14.9,40,0
164,163.5,36.8,7.4,18,45,1
165,117.2,14.7,5.4,11.9,75,0
166,234.5,3.4,84.8,11.9,33,0
167,17.9,37.6,21.6,8,52,1
168,206.8,5.2,19.4,12.2,33,0
169,215.4,23.6,57.6,17.1,1,1
170,284.3,10.6,6.4,15,67,0
171,50,11.6,18.4,8.4,29,0
172,164.5,20.9,47.4,14.5,65,0
173,19.6,20.1,17,7.6,66,0
174,168.4,7.1,12.8,11.7,42,0
175,222.4,3.4,13.1,11.5,24,0
176,276.9,48.9,41.8,27,68,1
177,248.4,30.2,20.3,20.2,92,1
178,170.2,7.8,35.2,11.7,11,0
179,276.7,2.3,23.7,11.8,6,0
180,165.6,10,17.6,12.6,12,0
181,156.6,2.6,8.3,10.5,74,0
182,218.5,5.4,27.4,12.2,2,0
183,56.2,5.7,29.7,8.7,29,0
184,287.6,43,71.8,26.2,12,1
185,253.8,21.3,30,17.6,44,0
186,205,45.1,19.6,22.6,94,1
187,139.5,2.1,26.6,10.3,31,0
188,191.1,28.7,18.2,17.3,25,1
189,286,13.9,3.7,15.9,28,0
190,18.7,12.1,23.4,6.7,67,0
191,39.5,41.1,5.8,10.8,58,1
192,75.5,10.8,6,9.9,91,0
193,17.2,4.1,31.6,5.9,96,0
194,166.8,42,3.6,19.6,98,1
195,149.7,35.6,6,17.3,79,1
196,38.2,3.7,13.8,7.6,16,0
197,94.2,4.9,8.1,9.7,36,0
198,177,9.3,6.4,12.8,29,0
199,283.6,42,66.2,25.5,29,1
200,232.1,8.6,8.7,13.4,45,0
